,genome_id,Actual,Predicted,Category
133,2081372013_1,Uncultured,Uncultured,TN
134,3300026230_2,Uncultured,Uncultured,TN
135,3300027906_5,Uncultured,Uncultured,TN
136,3300025640_25,Uncultured,Uncultured,TN
137,3300011396_23,Uncultured,Uncultured,TN
138,3300025590_34,Uncultured,Uncultured,TN
139,3300012262_4,Uncultured,Uncultured,TN
140,3300026074_7,Uncultured,Uncultured,TN
141,3300029745_26,Uncultured,Uncultured,TN
142,3300020681_1,Uncultured,Uncultured,TN
143,3300011668_2,Uncultured,Uncultured,TN
144,3300027791_31,Uncultured,Uncultured,TN
145,3300014572_6,Uncultured,Uncultured,TN
146,3300027838_20,Uncultured,Uncultured,TN
147,3300008090_23,Uncultured,Uncultured,TN
148,3300028048_61,Uncultured,Uncultured,TN
149,3300013137_37,Uncultured,Uncultured,TN
150,3300000115_9,Uncultured,Uncultured,TN
151,3300011876_10,Uncultured,Uncultured,TN
152,3300013010_30,Uncultured,Uncultured,TN
153,3300008622_22,Cultured,Uncultured,FN
154,3300017449_26,Uncultured,Uncultured,TN
155,3300025585_7,Uncultured,Uncultured,TN
156,3300025601_12,Uncultured,Uncultured,TN
157,3300027622_15,Uncultured,Uncultured,TN
158,3300017423_7,Uncultured,Uncultured,TN
159,3300025483_27,Uncultured,Uncultured,TN
160,3300029340_35,Cultured,Uncultured,FN
161,3300025678_21,Uncultured,Uncultured,TN
162,3300027819_121,Uncultured,Uncultured,TN
163,3300025361_16,Uncultured,Uncultured,TN
164,3300021092_39,Uncultured,Uncultured,TN
165,3300028399_21,Uncultured,Uncultured,TN
166,3300029484_23,Uncultured,Uncultured,TN
167,3300026093_9,Uncultured,Uncultured,TN
168,3300021471_15,Uncultured,Uncultured,TN
169,3300027896_23,Uncultured,Uncultured,TN
170,3300026290_57,Uncultured,Uncultured,TN
171,3300027111_5,Cultured,Uncultured,FN
172,3300012003_16,Uncultured,Uncultured,TN
173,3300012007_5,Uncultured,Uncultured,TN
174,3300012940_74,Uncultured,Uncultured,TN
175,3300029218_15,Uncultured,Uncultured,TN
176,2077657024_1,Uncultured,Uncultured,TN
177,3300020718_8,Uncultured,Uncultured,TN
178,3300025638_48,Uncultured,Uncultured,TN
179,3300029379_29,Uncultured,Uncultured,TN
180,3300028984_4,Cultured,Uncultured,FN
181,3300020083_23,Uncultured,Uncultured,TN
182,3300007806_7,Cultured,Uncultured,FN
183,3300022753_56,Uncultured,Uncultured,TN
184,3300011208_1,Cultured,Uncultured,FN
185,3300010275_25,Uncultured,Uncultured,TN
186,3300013128_83,Uncultured,Uncultured,TN
187,3300013690_1,Cultured,Uncultured,FN
188,3300028582_13,Uncultured,Uncultured,TN
189,3300026299_22,Uncultured,Uncultured,TN
190,3300007208_32,Uncultured,Uncultured,TN
191,3300011454_1,Uncultured,Uncultured,TN
192,3300021379_11,Uncultured,Uncultured,TN
193,3300007295_13,Uncultured,Uncultured,TN
194,3300028978_2,Cultured,Uncultured,FN
195,3300029244_7,Uncultured,Uncultured,TN
196,3300011742_1,Cultured,Uncultured,FN
197,3300026270_12,Uncultured,Uncultured,TN
198,3300025700_33,Uncultured,Uncultured,TN
199,3300004628_60,Uncultured,Uncultured,TN
200,3300027283_3,Uncultured,Uncultured,TN
201,3300020148_14,Uncultured,Uncultured,TN
202,3300025713_46,Uncultured,Uncultured,TN
203,3300021561_39,Uncultured,Uncultured,TN
204,3300029748_19,Uncultured,Uncultured,TN
205,3300029033_9,Uncultured,Uncultured,TN
206,3300021843_32,Uncultured,Uncultured,TN
207,3300026033_1,Uncultured,Uncultured,TN
208,3300025475_4,Uncultured,Uncultured,TN
209,3300020138_4,Uncultured,Uncultured,TN
210,3300029860_16,Cultured,Uncultured,FN
211,3300029414_12,Uncultured,Uncultured,TN
212,3300029527_11,Cultured,Uncultured,FN
213,3300005858_30,Uncultured,Uncultured,TN
214,3300012825_8,Uncultured,Uncultured,TN
215,3300025859_32,Uncultured,Uncultured,TN
216,3300027971_20,Uncultured,Uncultured,TN
217,3300025775_2,Uncultured,Uncultured,TN
218,3300012854_10,Uncultured,Uncultured,TN
219,3300028044_43,Uncultured,Uncultured,TN
220,3300013414_30,Cultured,Uncultured,FN
221,3300017991_94,Uncultured,Uncultured,TN
222,3300014628_1,Cultured,Uncultured,FN
223,3300007262_3,Uncultured,Uncultured,TN
224,3300008729_4,Cultured,Uncultured,FN
225,3300020153_59,Uncultured,Uncultured,TN
226,3300029845_25,Uncultured,Uncultured,TN
227,3300013830_12,Uncultured,Uncultured,TN
