,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
0,No,Firmicutes_C,0.899,0.797,0.712,0.967
1,No,Fusobacteriota,0.771,0.674,0.542,0.812
2,No,Cyanobacteriota,1.0,0.99,0.667,1.0
3,No,Firmicutes_F,1.0,1.0,1.0,1.0
4,No,Firmicutes,0.847,0.791,0.698,0.667
5,No,Chloroflexota,0.993,0.935,0.348,1.0
6,No,Coprothermobacterota,1.0,0.25,0.0,0.0
7,No,Proteobacteria,0.792,0.783,0.482,0.737
8,No,Campylobacterota,0.928,0.849,0.636,0.824
9,No,Dictyoglomota,1.0,1.0,1.0,1.0
10,No,Aquificota,1.0,1.0,1.0,1.0
11,No,Thermotogota,0.689,0.78,0.3,0.6
12,No,Nitrospirota,1.0,1.0,1.0,1.0
13,No,Desulfobacterota,0.987,0.954,0.692,0.643
14,No,Actinobacteriota,0.926,0.861,0.61,0.911
15,No,Acidobacteriota,0.993,0.966,0.167,1.0
16,No,Spirochaetota,0.986,0.898,0.267,1.0
17,No,Cloacimonadota,1.0,0.958,0.667,1.0
18,No,Planctomycetota,0.986,0.972,0.2,0.5
19,No,Firmicutes_A,0.829,0.754,0.47,0.819
20,No,Synergistota,0.745,0.774,0.2,0.25
21,No,Bacteroidota,0.912,0.893,0.806,0.859
22,No,Desulfuromonadota,1.0,0.824,0.25,1.0
23,No,Verrucomicrobiota,0.996,0.979,0.875,1.0
24,No,Deinococcota,0.981,0.925,0.933,0.966
25,Yes,Deinococcota,0.433,0.6,0.686,0.828
26,Yes,Planctomycetota,0.781,0.812,0.0,0.0
27,Yes,Aquificota,0.444,0.636,0.25,0.5
28,Yes,Bacteroidota,0.491,0.607,0.285,0.186
29,Yes,Firmicutes_C,0.49,0.498,0.485,0.833
30,Yes,Nitrospirota,0.145,0.735,0.0,0.0
31,Yes,Thermotogota,0.553,0.39,0.167,1.0
32,Yes,Cloacimonadota,0.875,0.875,0.4,1.0
33,Yes,Proteobacteria,0.495,0.479,0.204,0.53
34,Yes,Cyanobacteriota,0.38,0.714,0.0,0.0
35,Yes,Synergistota,0.301,0.613,0.0,0.0
36,Yes,Firmicutes,0.502,0.543,0.306,0.28
37,Yes,Firmicutes_A,0.484,0.533,0.21,0.401
38,Yes,Desulfuromonadota,0.75,0.882,0.0,0.0
39,Yes,Campylobacterota,0.486,0.575,0.231,0.353
40,Yes,Dictyoglomota,0.5,0.667,0.0,0.0
41,Yes,Coprothermobacterota,0.333,0.5,0.667,0.667
42,Yes,Spirochaetota,0.484,0.769,0.043,0.25
43,Yes,Firmicutes_F,1.0,0.625,0.25,1.0
44,Yes,Fusobacteriota,0.524,0.581,0.45,0.562
45,Yes,Verrucomicrobiota,0.51,0.745,0.174,0.19
46,Yes,Actinobacteriota,0.479,0.48,0.21,0.548
47,Yes,Desulfobacterota,0.462,0.569,0.072,0.429
48,Yes,Chloroflexota,0.363,0.918,0.0,0.0
49,Yes,Acidobacteriota,0.453,0.966,0.0,0.0
