,Shuffled,Phylum Name,AUC,Accuracy,Precision,Recall
213,Yes,Cyanobacteriota,0.406,0.918,0.0,0.0
214,Yes,Cyanobacteriota,0.409,0.847,0.0,0.0
215,Yes,Chloroflexota,0.508,0.866,0.0,0.0
216,Yes,Chloroflexota,0.489,0.758,0.056,0.375
217,Yes,Chloroflexota,0.566,0.784,0.043,0.25
218,Yes,Chloroflexota,0.43,0.874,0.0,0.0
219,Yes,Chloroflexota,0.655,0.701,0.045,0.375
220,Yes,Thermotogota,0.319,0.488,0.056,0.2
221,Yes,Thermotogota,0.553,0.585,0.167,0.6
222,Yes,Thermotogota,0.506,0.634,0.143,0.4
223,Yes,Thermotogota,0.489,0.634,0.188,0.6
224,Yes,Thermotogota,0.503,0.561,0.118,0.4
225,Yes,Verrucomicrobiota,0.515,0.528,0.158,0.5
226,Yes,Verrucomicrobiota,0.447,0.645,0.108,0.19
227,Yes,Verrucomicrobiota,0.522,0.457,0.146,0.548
228,Yes,Verrucomicrobiota,0.465,0.418,0.149,0.619
229,Yes,Verrucomicrobiota,0.448,0.436,0.132,0.5
230,Yes,Bacteroidota,0.516,0.508,0.32,0.535
231,Yes,Bacteroidota,0.481,0.415,0.306,0.714
232,Yes,Bacteroidota,0.49,0.413,0.302,0.694
233,Yes,Bacteroidota,0.492,0.526,0.302,0.418
234,Yes,Bacteroidota,0.511,0.466,0.316,0.634
235,Yes,Proteobacteria,0.494,0.595,0.194,0.306
236,Yes,Proteobacteria,0.496,0.684,0.196,0.174
237,Yes,Proteobacteria,0.486,0.633,0.199,0.258
238,Yes,Proteobacteria,0.505,0.585,0.209,0.365
239,Yes,Proteobacteria,0.501,0.353,0.21,0.779
240,Yes,Spirochaetota,0.566,0.778,0.045,0.25
241,Yes,Spirochaetota,0.649,0.787,0.048,0.25
242,Yes,Spirochaetota,0.552,0.685,0.059,0.5
243,Yes,Spirochaetota,0.508,0.87,0.0,0.0
244,Yes,Spirochaetota,0.435,0.741,0.038,0.25
245,Yes,Firmicutes_A,0.521,0.656,0.249,0.27
246,Yes,Firmicutes_A,0.489,0.276,0.223,0.906
247,Yes,Firmicutes_A,0.505,0.41,0.228,0.694
248,Yes,Firmicutes_A,0.505,0.317,0.223,0.832
249,Yes,Firmicutes_A,0.532,0.365,0.225,0.763
